Designator,Mid X,Mid Y,Rotation,Layer
C1,32.5,40.8,270.0,top
C10,32.7,43.275,90.0,top
C11,35.2,30.5,90.0,top
C12,37.4,31.5,270.0,top
C13,45.2,41.3,90.0,top
C14,56.9,56.2,270.0,top
C15,49.3,56.2,270.0,top
C16,41.8,56.2,270.0,top
C17,17.5,38.0,90.0,top
C2,37.5,54.0,0.0,top
C3,35.3,41.65,90.0,top
C35,21.5,38.0,90.0,top
C4,10.0,17.775,270.0,top
C5,37.95,43.5,90.0,top
C6,36.3,43.5,90.0,top
C7,32.5,36.8,90.0,top
C8,33.7,43.275,90.0,top
C9,36.0,44.35,0.0,top
D1,37.5,58.0,270.0,top
D10,60.0,58.0,270.0,top
D11,47.0,13.0,270.0,top
D12,29.0,47.265,90.0,top
D13,27.0,47.265,90.0,top
D14,25.0,47.265,90.0,top
D2,40.0,58.0,270.0,top
D3,42.5,58.0,270.0,top
D4,45.0,58.0,270.0,top
D5,47.5,58.0,270.0,top
D6,50.0,58.0,270.0,top
D7,52.5,58.0,270.0,top
D8,55.0,58.0,270.0,top
D9,57.5,58.0,270.0,top
J2,27.5,52.095,270.0,top
J3,16.425,53.6,270.0,top
J4,53.5,15.965,0.0,top
J5,38.45,23.38,0.0,top
J6,7.4,28.89,90.0,top
L1,36.0,37.7,270.0,top
R1,37.4,43.5,90.0,top
R10,46.4,41.3,270.0,top
R11,34.1,30.5,270.0,top
R12,36.3,30.5,270.0,top
R13,38.5,30.5,270.0,top
R14,39.6,30.5,270.0,top
R15,40.7,30.5,270.0,top
R2,10.0,18.775,270.0,top
R3,36.85,43.5,270.0,top
R4,36.1,42.7,180.0,top
R5,31.9,30.5,270.0,top
R6,33.0,30.5,270.0,top
R7,48.5,15.5,270.0,top
R8,58.5,15.5,90.0,top
R9,45.8,41.3,270.0,top
SW3,54.25,51.575,0.0,top
U1,18.4,24.0,180.0,top
U2,37.4,41.8,270.0,top
U3,46.3,38.2,90.0,top
U4,31.5,47.2,180.0,top
U5,34.5,47.165,270.0,top
